Metabolite,´úÐ»Îï,P_value,FDR,VIP_pred_OPLS-DA,VIP_PLS-DA,FC(KA/HA),Log2FC(KA/HA),Significant,Regulate,"KEGG Compound ID","KEGG Compound First Category","KEGG Compound Second Category","KEGG Pathway ID","KEGG Pathway Description","KEGG Pathway First Category","KEGG Pathway Second Category","Library ID","HMDB Superclass","HMDB Class","HMDB Subclass","CAS ID",M/Z,"Retention time",Adducts,Formula,"Fragmentation Score","Theoretical Fragmentation Score","Metab ID",ID,Mode,KA1,KA10,KA11,KA12,KA6,KA8,HA12,HA14,HA16,HA3,HA4,HA6,ka_mean,ka_SD,ha_mean,ha_SD
"SM(d19:0/22:6(4Z,8Z,10Z,13Z,16Z,19Z)-OH(7))",-,0.7668,0.8499,0.2202,0.1781,0.9352,-0.0967,no,down,-,-,-,-,-,-,-,HMDB0290647,"Not Available","Not Available","Not Available",-,851.566886418,6.6864,M+2Na-H,C46H83N2O7P,0,55.2,metab_1723,pos_2620,pos,96470,346400,352500,494900,238100,211800,315700,400900,408300,262000,211000,262400,,,,
PG(TXB2/i-12:0),-,0.7075,0.8089,0.2181,0.2148,1.1998,0.2628,no,up,-,-,-,-,-,-,-,HMDB0271088,"Not Available","Not Available","Not Available",-,813.475758374,6.50936666667,M+CH3OH+H,C38H69O14P,0,36.3,metab_1577,pos_2480,pos,8479,56810,46110,13100,58010,561.1,20310,19530,58360,23820,30190,341.2,,,,
(+)-gamma-Hydroxy-L-homoarginine,£¨+£©-¦Ã-ôÇ»ù-L-¸ß¾«°±Ëá,0.6666,0.752,0.2178,0.5101,0.9346,-0.0976,no,down,C08286,-,-,-,-,-,-,HMDB0301838,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1616-99-5,239.09206211,6.05528333333,M+Cl,C7H16N4O3,0,54.7,metab_8984,neg_957,neg,36280,38920,39150,23040,32400,29270,30990,28320,56580,38930,30840,27370,,,,
"PE-NMe(16:0/22:4(7Z,10Z,13Z,16Z))",-,0.7385,0.8104,0.2166,0.3771,0.9156,-0.1272,no,down,"C01241 ",-,-,-,-,-,-,HMDB0113055;PW_C059178,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,826.561049272,6.55438333333,"M+Cl, M+FA-H",C44H80NO8P,0,79.4,metab_8164,neg_267,neg,9990000,55290000,39070000,44750000,65360000,49870000,45830000,50130000,58120000,6733000,58060000,69820000,,,,
LysoPC(0:0/16:0),-,0.7763,0.84,0.2127,0.3106,1.0587,0.0823,no,up,-,-,-,-,-,-,-,HMDB0240262,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,66757-27-5,540.330411505,6.81288333333,"M+Cl, M+FA-H, M+K-2H",C24H50NO7P,0,81.8,metab_8329,neg_35,neg,43780000,24370000,32900000,26880000,23510000,23760000,19910000,24330000,28580000,48720000,25460000,18480000,,,,
Cerulenin,Ç³À¶¾úËØ,0.775,0.8559,0.2098,0.7916,0.9556,-0.0655,no,down,C12058,-,-,-,-,-,-,LMFA08010013;HMDB0015168,"Organoheterocyclic compounds",Epoxides,"Oxirane carboxylic acids and derivatives",17397-89-6,241.154100539,1.89588333333,M+NH4,C12H17NO3,0,35.1,metab_5142,pos_6039,pos,1134000,1245000,1592000,721400,750400,1262000,1175000,825600,1639000,1170000,961100,1247000,,,,
Xi-4-Hydroxy-4-methyl-2-cyclohexen-1-one,-,0.7847,0.8626,0.2091,0.7881,1.0118,0.0169,no,up,-,-,-,-,-,-,-,HMDB0033629,"Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",-,91.05454078,3.17431666667,M+H-2H2O,C7H10O2,0,31.3,metab_777,pos_1723,pos,965700,946900,971300,917100,1020000,1037000,1040000,872500,1087000,912000,887900,989500,,,,
PE-NMe2(18:1(9Z)/14:1(9Z)),-,0.7802,0.8588,0.2063,0.3637,1.1189,0.1621,no,up,C04308,-,-,map01100;map00564,"Metabolic pathways;Glycerophospholipid metabolism",Metabolism;Metabolism,"Global and overview maps;Lipid metabolism",HMDB0114039;PW_C060056,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,779.529918106,6.78978333333,M+ACN+Na,C39H74NO8P,0,56.1,metab_1814,pos_2717,pos,134600,56960,25470,84280,147900,17220,150800,57770,51910,63190,17840,75390,,,,
"Docosahexaenoic Acid",Ø¥¶þÌ¼ÁùÏ©Ëá,0.6611,0.7501,0.2058,0.5301,0.9445,-0.0824,no,down,C06429,Lipids,"Fatty acids",map01040,"Biosynthesis of unsaturated fatty acids",Metabolism,"Lipid metabolism",PW_C001472;LMFA01031176;HMDB0002183;MJDBOTE0001119,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",6217-54-5,327.232564614,6.61056666667,M-H,C22H32O2,93.1,0,metab_7102,neg_1686,neg,968900,727700,744000,649700,757400,791900,503400,871600,854900,1055000,1015000,612800,,,,
"Blasticidin S",²¼À­Ò¶Ë¹,0.7666,0.8499,0.2033,0.5735,1.1555,0.2085,no,up,C02010,-,-,-,-,-,-,HMDB0030452,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",2079-00-7,405.197178584,2.90553333333,M+H-H2O,C17H26N8O5,0,39.3,metab_740,pos_1689,pos,173900,434300,337400,165600,225600,304300,80220,775700,141600,30160,199800,192600,,,,
PC(17:0/0:0),-,0.834,0.897,0.1978,0.1277,0.9015,-0.1496,no,down,C04230,Lipids,Phospholipids,map00564;map05231,"Glycerophospholipid metabolism;Choline metabolism in cancer","Metabolism;Human Diseases","Lipid metabolism;Cancer: overview",LMGP01050024;HMDB0012108,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,50930-23-9,532.336580376,7.617,M+Na,C25H52NO7P,80.9,0,metab_2304,pos_3236,pos,3036000,811600,1646000,693000,737200,651300,674600,1287000,905500,3904000,1062000,570800,,,,
Non-6-enedioylcarnitine,"·Ç6 -Ï©¶þõ£»ùÈâ¼î",0.8412,0.9018,0.1953,0.6523,0.9291,-0.1061,no,down,-,-,-,-,-,-,-,HMDB0241757,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",-,362.216514962,3.78211666667,"M+H, M+CH3OH+H",C16H27NO6,0,36.9,metab_2714,pos_366,pos,169100,253000,692400,93640,144400,195700,249400,226900,385300,291000,197400,316000,,,,
Octanedioylcarnitine,ÐÁÍé¶þõ£»ùÈâ¼î,0.8164,0.8851,0.1904,0.5699,0.9371,-0.0937,no,down,-,-,-,-,-,-,-,HMDB0241733,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",-,318.190446957,3.58425,M+H,C15H27NO6,0,82.6,metab_4871,pos_5788,pos,2854000,2908000,8285000,1484000,3072000,3936000,3733000,3466000,5696000,2961000,3440000,4760000,,,,
Norfuraneol,ß»à«·Ó,0.7958,0.8564,0.1863,0.2209,0.9622,-0.0556,no,down,-,-,-,-,-,-,-,HMDB0031859,"Organoheterocyclic compounds",Dihydrofurans,Furanones,19322-27-1,113.023374275,0.636666666667,M-H,C5H6O3,0,47.2,metab_7970,neg_2494,neg,63310,66950,47600,80780,97890,65590,87360,64080,73680,68530,45470,99570,,,,
"PE-NMe(18:2(9Z,12Z)/20:0)",-,0.812,0.868,0.1853,0.5498,1.0892,0.1233,no,up,"C01241 ",-,-,-,-,-,-,PW_C059299;HMDB0113176,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,830.592064735,6.18483333333,M+FA-H,C44H84NO8P,0,78.7,metab_7243,neg_1813,neg,3620000,2366000,2283000,2388000,6387000,765200,2733000,2172000,1893000,3877000,4970000,705600,,,,
Isoleucyl-thiazolidine,-,0.801,0.8735,0.1833,0.1853,0.9594,-0.0598,no,down,-,-,-,-,-,-,-,HMDB0253651,"Organoheterocyclic compounds",Azolidines,Thiazolidines,-,427.215749455,7.44245,2M+Na,C9H18N2OS,0,49.3,metab_2846,pos_3804,pos,107500,90010,63770,78210,87600,74710,56320,77930,94800,142300,76330,75450,,,,
Isoetharine,ÒìËûÁÖ,0.6867,0.7937,0.1829,0.2269,1.1513,0.2033,no,up,C07053,-,-,-,-,-,-,HMDB0014366,Benzenoids,Phenols,Benzenediols,530-08-5,542.320909457,7.62488333333,2M+ACN+Na,C13H21NO3,0,74.7,metab_2738,pos_3687,pos,7155000,2156000,4362000,3112000,3841000,2976000,1504000,3529000,2202000,8171000,3431000,1665000,,,,
"1-(6-((3-Methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione","1-£¨6-£¨£¨3-¼×Ñõ»ù´Æ-1,3,5£¨10£©-ÈýÏ©-17-»ù£©°±»ù£©¼º»ù£©-1H-ßÁ¿©-2,5-¶þÍª",0.819,0.8737,0.1825,0.1829,1.0952,0.1312,no,up,-,-,-,-,-,-,-,HMDB0244394,"Lipids and lipid-like molecules","Steroids and steroid derivatives","Azasteroids and derivatives",-,485.282160289,6.81288333333,M+Na-2H,C29H40N2O3,0,47.5,metab_6532,neg_1169,neg,5064000,1189000,1497000,1637000,1750000,1637000,1119000,1271000,1675000,4374000,2174000,1053000,,,,
"Enantio-PAF C-16",-,0.8859,0.9305,0.1798,0.2701,0.9797,-0.0296,no,down,-,-,-,-,-,-,-,-,-,-,-,-,524.370208053,7.71138333333,"M+H-H2O, M+H",C26H54NO7P,59.1,0,metab_6156,pos_839,pos,613700000,451600000,611500000,455000000,397100000,426100000,450500000,466400000,460500000,785800000,452100000,401100000,,,,
"4-Piperidinone, 1-hydroxy-2,2,6,6-tetramethyl-","4 -ßßà¤Íª£¬1 -ôÇ»ù- 2£¬2£¬6£¬6 -ËÄ¼×»ù-",0.8288,0.8932,0.177,0.2949,1.0034,0.0049,no,up,-,-,-,-,-,-,-,-,-,-,-,-,172.132926132,4.56751666667,M+H,C9H17NO2,43.2,0,metab_4782,pos_5705,pos,371900,383400,375800,378000,375200,389400,383100,362700,362900,376800,390800,389700,,,,
"(7Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-7,9,12,15,18,21-hexaenoylcarnitine","£¨7Z£¬9Z£¬12Z£¬15Z£¬18Z£¬21Z£©-Tetracosa-7,9,12,15,18,21-¼ºÏ©õ£»ùÈâ¼î",0.7786,0.8572,0.1746,0.7858,0.9508,-0.0728,no,down,-,-,-,-,-,-,-,HMDB0241638,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",-,522.354785085,6.19298333333,"M+H-H2O, M+2Na-H, M+Na",C31H49NO4,0,32.1,metab_442,pos_141,pos,27480000,19730000,10930000,27020000,21660000,17260000,15360000,16670000,25860000,22950000,32460000,17220000,,,,
LysoPA(18:0/0:0),-,0.8946,0.9359,0.172,0.5394,0.979,-0.0306,no,down,-,-,-,-,-,-,-,HMDB0007854,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphates,-,480.307909132,6.78175,M+ACN+H,C21H43O7P,0,81.2,metab_1807,pos_2709,pos,2968000,1681000,3133000,2451000,2029000,2313000,1716000,2700000,2275000,3256000,3330000,1608000,,,,
Nitrobenzyl-6-thioinosine,"Ïõ»ùÜÐ»ù- 6 -Áò´ú¼¡ÜÕ",0.8738,0.922,0.1714,0.2412,1.0362,0.0513,no,up,-,-,-,-,-,-,-,HMDB0255642;HMDB0255484,"Nucleosides, nucleotides, and analogues","Purine nucleosides","Not Available",-,442.082950767,3.15083333333,M+Na,C17H17N5O6S,0,64.8,metab_4937,pos_5850,pos,225800,228100,43900,189900,160000,251100,244500,157400,75280,169600,228800,184700,,,,
"PE-NMe(22:4(7Z,10Z,13Z,16Z)/18:0)",-,0.7456,0.8164,0.1675,0.6473,1.1004,0.138,no,up,"C01241 ",-,-,-,-,-,-,HMDB0113597;PW_C059726,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,854.59169879,6.45871666667,M+FA-H,C46H84NO8P,0,85.9,metab_7144,neg_1723,neg,44230000,28380000,20900000,26750000,5296000,40860000,38630000,22580000,30230000,28300000,3222000,28310000,,,,
Ethyl-4-hydroxymethyl-3(2H)-Furanone,-,0.8404,0.9016,0.1635,0.7114,0.9571,-0.0633,no,down,-,-,-,-,-,-,-,-,-,-,-,-,302.159196775,2.6973,2M+NH4,C7H10O3,0,44.8,metab_715,pos_1666,pos,136100,295300,381100,255400,167300,171100,217100,168300,356900,201400,187600,337900,,,,
Caryophyllen-beta,-,0.8731,0.9216,0.1629,0.4635,0.9743,-0.0376,no,down,-,-,-,-,-,-,-,HMDB0304653,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",-,290.159129632,2.65731666667,M+H,C13H23NO6,0,73,metab_5035,pos_5940,pos,9609000,13540000,17790000,13010000,11220000,7663000,11000000,11680000,18600000,12070000,9131000,12280000,,,,
L-Coprine,-,0.7895,0.8504,0.1598,0.3014,1.15,0.2016,no,up,C08271,-,-,-,-,-,-,HMDB0034266,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",58919-61-2,403.182813963,3.48988333333,2M-H,C8H14N2O4,0,52.1,metab_8776,neg_768,neg,35300,92120,67640,27480,46450,66860,13890,166600,32180,1763,36680,40940,,,,
"PG(20:4(5Z,8Z,11Z,14Z)-OH(19S)/18:1(9Z))",-,0.7621,0.8473,0.1595,0.1911,1.1298,0.1761,no,up,-,-,-,-,-,-,-,HMDB0268980,"Not Available","Not Available","Not Available",-,826.535028383,7.60911666667,2M+3H2O+2H,C44H77O11P,0,50.8,metab_2301,pos_3233,pos,2133000,614900,300200,1080000,978500,780800,636600,727700,408100,2111000,824000,503200,,,,
G-Glu-Val,G-¹È°±õ£-çÓ°±Ëá,0.7658,0.8493,0.159,0.693,0.9514,-0.0719,no,down,-,-,-,-,-,-,-,HMDB0011172,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",2746-34-1,247.128289448,2.47261666667,M+H,C10H18N2O5,47.9,0,metab_678,pos_1632,pos,107600,147800,84720,82040,72590,103500,84660,113400,133600,71330,145100,80700,,,,
Digimed,ÑóµØ»Æ¶¾ÜÕ,0.8088,0.879,0.1549,0.1465,0.925,-0.1125,no,down,C06955,Steroids,"23-Carbon atoms",-,-,-,-,HMDB0251273;HMDB0015468,"Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones",71-63-6,806.472179719,6.46911666667,M+ACN+H,C41H64O13,0,43.8,metab_1550,pos_2456,pos,31290,20850,41290,38080,45430,102000,53760,37520,77890,77360,35430,19660,,,,
"6-Hydroxypentadecanedioic acid","6 -ôÇ»ùÊ®ÎåÍé¶þËá",0.8333,0.8838,0.1538,0.2289,0.9665,-0.0492,no,down,-,-,-,-,-,-,-,HMDB0031885,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",38076-52-7,309.168110088,6.37583333333,M+Na-2H,C15H28O5,0,45.5,metab_6408,neg_1054,neg,26780,36750,49030,43940,42530,74420,42290,46930,61780,48330,41730,41910,,,,
5'-Methylthioadenosine,5¡¯-¼×ÁòÏÙÜÕ,0.832,0.8954,0.1536,0.6696,0.9489,-0.0757,no,down,C00170,-,-,map01100;map00270,"Metabolic pathways;Cysteine and methionine metabolism",Metabolism;Metabolism,"Global and overview maps;Amino acid metabolism",HMDB0001173;PW_C000910,"Nucleosides, nucleotides, and analogues",5''-deoxyribonucleosides,5''-deoxy-5''-thionucleosides,2457-80-9,298.096215519,3.033,M+H,C11H15N5O3S,97,0,metab_4958,pos_5871,pos,1809000,2186000,2168000,1384000,1436000,1820000,3560000,833700,2206000,2335000,1467000,985900,,,,
"PE-NMe2(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",-,0.7278,0.8217,0.1508,0.4014,0.8484,-0.2372,no,down,C04308,-,-,map01100;map00564,"Metabolic pathways;Glycerophospholipid metabolism",Metabolism;Metabolism,"Global and overview maps;Lipid metabolism",PW_C059998;HMDB0113981,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoethanolamines,-,855.56265035,6.44556666667,M+ACN+Na,C45H78NO8P,0,42.2,metab_3773,pos_4747,pos,42890,112500,18490,7143,23140,57330,10770,43680,52760,12790,98820,89450,,,,
"Choline Phosphate",Á×Ëáµ¨¼î,0.6984,0.8025,0.1507,0.3454,1.0233,0.0332,no,up,C00588,-,-,map01100;map00564;map05231,"Metabolic pathways;Glycerophospholipid metabolism;Choline metabolism in cancer","Metabolism;Metabolism;Human Diseases","Global and overview maps;Lipid metabolism;Cancer: overview",HMDB0001565,"Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts",3616-04-4;107-73-3,184.072998033,6.9337,M+H,C5H14NO4P,60.3,0,metab_3225,pos_4202,pos,3768000,3156000,3721000,3307000,3232000,3342000,2858000,3470000,3349000,3917000,3542000,2923000,,,,
"Tranexamic Acid",ÄýÑªËá,0.7119,0.8104,0.1492,0.2978,0.988,-0.0174,no,down,C12535,-,-,-,-,-,-,PW_C008836;HMDB0014447;MJDBOTE0000780,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1197-18-8,158.117314678,7.84611666667,"M+H, M+ACN+H",C8H15NO2,0,32.2,metab_6203,pos_882,pos,573900,524600,504900,519200,606500,537600,559000,549400,564900,522600,543000,567200,,,,
Monopalmitin,¸ÊÓÍ-×ØéµËáõ¥,0.8759,0.9233,0.1445,0.2108,0.9799,-0.0293,no,down,-,-,-,-,-,-,-,HMDB0011564;HMDB0245964,"Lipids and lipid-like molecules",Glycerolipids,Monoradylglycerols,32899-41-5,313.273045642,6.75018333333,M+H-H2O,C19H38O4,48.5,0,metab_1779,pos_2679,pos,388900,355600,368100,310500,297100,330700,345500,274200,251800,468500,471400,281400,,,,
"Coniferyl acetate",-,0.8009,0.8597,0.1437,0.7007,0.9686,-0.046,no,down,C20225,-,-,-,-,-,-,HMDB0304294,Benzenoids,Phenols,Methoxyphenols,-,243.061845272,0.714166666667,"M-H2O-H, M+Na-2H",C12H14O4,0,43.7,metab_8350,neg_369,neg,472900,641800,798400,538100,437100,559400,549200,532400,798700,666900,510000,501800,,,,
D-Xylulose,D-Ä¾ÍªÌÇ,0.8124,0.8681,0.1428,0.3158,1.0284,0.0404,no,up,C00310,Carbohydrates,Monosaccharides,map01100;map00040,"Metabolic pathways;Pentose and glucuronate interconversions",Metabolism;Metabolism,"Global and overview maps;Carbohydrate metabolism",HMDB0001644,"Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",20750-28-1;551-84-8,171.026568878,0.562916666667,M+Na-2H,C5H10O5,0,32.7,metab_8378,neg_394,neg,13000,18320,13480,16590,20700,15610,15410,13160,18170,13540,13060,21640,,,,
"PC(22:6(4Z,7Z,10Z,13E,15E,19Z)-OH(17)/14:0)",-,0.9001,0.9388,0.1413,0.4454,1.0122,0.0175,no,up,-,-,-,-,-,-,-,HMDB0285667,"Not Available","Not Available","Not Available",-,794.527385463,6.55018333333,"M+H, M+ACN+Na",C44H76NO9P,0,43.5,metab_4978,pos_589,pos,2760000,4068000,2729000,2546000,2597000,3261000,3155000,2487000,2748000,2766000,3050000,3535000,,,,
PC(16:0/16:1(9Z)),-,0.8983,0.9379,0.1326,0.4969,1.0165,0.0236,no,up,C00157,Lipids,Phospholipids,map01100;map00564;map00590;map00591;map00592;map05231;map04723,"Metabolic pathways;Glycerophospholipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Choline metabolism in cancer;Retrograde endocannabinoid signaling","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Lipid metabolism;Lipid metabolism;Lipid metabolism;Cancer: overview;Nervous system",LMGP01010566;HMDB0007969;PW_C004018,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,53595-24-7,732.552425003,7.66461666667,"M+Na, M+CH3OH+H, M+H",C40H78NO8P,0,60.3,metab_24,pos_102,pos,6959000,9245000,8255000,8996000,10530000,9660000,7239000,7586000,9026000,6015000,12640000,10260000,,,,
PE(20:1/0:0),-,0.7869,0.8486,0.1283,0.2455,0.9335,-0.0993,no,down,-,-,-,-,-,-,-,-,-,-,-,-,506.32470094,6.81288333333,M-H,C25H50NO7P,31.6,0,metab_7027,neg_1616,neg,3724000,1503000,2937000,2294000,2061000,2058000,1470000,2664000,2374000,4996000,2656000,1452000,,,,
(+/-)-Tryptophan,-,0.8738,0.9136,0.1227,0.2902,1.0163,0.0233,no,up,C00806,-,-,-,-,-,-,HMDB0030396,"Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives",54-12-6,203.081830527,3.69151666667,M-H,C11H12N2O2,0,48.4,metab_7516,neg_2061,neg,63560,74570,39400,50070,66190,64950,68690,50790,54160,64830,56680,57800,,,,
LysoPC(16:0/0:0),-,0.7596,0.8454,0.1223,0.1921,1.0712,0.0992,no,up,C04230,Lipids,Phospholipids,map00564;map05231,"Glycerophospholipid metabolism;Choline metabolism in cancer","Metabolism;Human Diseases","Lipid metabolism;Cancer: overview",HMDB0010382,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,17364-16-8,518.320948448,7.64878333333,M+Na,C24H50NO7P,0,88,metab_2319,pos_3255,pos,53210000,26650000,35970000,28660000,30810000,28810000,22480000,26320000,28200000,60210000,31790000,21580000,,,,
PC(18:2/0:0),-,0.7398,0.8313,0.1215,0.4538,1.062,0.0868,no,up,-,-,-,-,-,-,-,LMGP01050034,-,-,-,-,520.339029198,6.75818333333,"M+H-H2O, M+H",C26H50NO7P,77.4,0,metab_5571,pos_645,pos,448200000,231200000,393400000,329300000,308900000,271800000,193600000,369400000,261100000,467100000,383200000,192600000,,,,
"5,7-Megastigmadien-9-ol glucoside",-,0.8498,0.9068,0.1204,0.7961,1.0335,0.0475,no,up,-,-,-,-,-,-,-,HMDB0041044,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides",146610-77-7,374.25300968,5.83281666667,M+NH4,C19H32O6,0,35.7,metab_1014,pos_1937,pos,255000,289400,225500,127500,103700,203300,207800,156500,220500,187300,151500,242200,,,,
Glutamylisoleucine,¹È°±õ£ÒìÁÁ°±Ëá,0.8784,0.9253,0.1199,0.6239,1.0314,0.0446,no,up,-,-,-,-,-,-,-,HMDB0028822,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",5879-22-1,261.143955497,3.26821666667,M+H,C11H20N2O5,0,72,metab_796,pos_1740,pos,304100,514200,188200,436000,275100,231800,293400,319900,367900,203100,456000,249900,,,,
"Parasorbic acid",-,0.8022,0.86,0.1198,0.5303,0.9683,-0.0465,no,down,C08502,-,-,-,-,-,-,HMDB0301801,"Organoheterocyclic compounds",Pyrans,"Pyranones and derivatives",10048-32-5,223.096158786,6.08663333333,2M-H,C6H8O2,0,36.7,metab_9001,neg_972,neg,86160,89500,106300,74550,92140,75270,67870,74230,109600,80880,78450,130100,,,,
Pantolactone,DL-·ºõ£ÄÚõ¥,0.9648,0.9773,0.1164,0.4592,0.9917,-0.012,no,down,C01012,-,-,-,-,-,-,HMDB0303902;HMDB0059876,"Organoheterocyclic compounds",Lactones,"Gamma butyrolactones",599-04-2,274.200648618,5.17095,2M+NH4,C7H12O2,0,48.9,metab_927,pos_1859,pos,48740,41790,78900,27730,40100,36540,39590,42880,53980,63190,39440,37020,,,,
"PC(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",-,0.8005,0.8735,0.1159,0.2607,1.1311,0.1777,no,up,C00157,Lipids,Phospholipids,map01100;map00564;map00590;map00591;map00592;map05231;map04723,"Metabolic pathways;Glycerophospholipid metabolism;Arachidonic acid metabolism;Linoleic acid metabolism;alpha-Linolenic acid metabolism;Choline metabolism in cancer;Retrograde endocannabinoid signaling","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism;Human Diseases;Organismal Systems","Global and overview maps;Lipid metabolism;Lipid metabolism;Lipid metabolism;Lipid metabolism;Cancer: overview;Nervous system",PW_C004303;LMGP01011730;HMDB0008255,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,826.538917101,7.37853333333,M+H,C48H76NO8P,0,87.3,metab_2878,pos_3836,pos,994800,215100,286100,259800,286900,225000,111500,228000,187100,881200,222300,374300,,,,
"LysoPC(18:3(6Z,9Z,12Z)/0:0)",-,0.8086,0.8655,0.1121,0.2756,0.9613,-0.0569,no,down,C04230,Lipids,Phospholipids,map00564;map05231,"Glycerophospholipid metabolism;Choline metabolism in cancer","Metabolism;Human Diseases","Lipid metabolism;Cancer: overview",HMDB0010387,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphocholines,-,562.314704163,6.43408333333,M+FA-H,C26H48NO7P,0,57,metab_7154,neg_1732,neg,569500,231700,537400,408800,510000,411600,378100,423100,397100,648700,587100,341700,,,,
